TeacherID,FirstName,Surname,EmailAddress,PhoneNumber,Address,Gender
4,Omolabake,Kolade,mofifoluwa41@example.com,321-401-2311x757,"7225 Omodunni Stream, Ogunbofort, FM 45456",M
5,Fikayomi,Bamidele,bamideledamife@example.net,864.579.5550x081,"31916 Bamiloye Views Suite 963, East Omotarachester, NH 25200",F
3,Babawale,Ogunyeye,obanijesuafolabi@example.com,001-450-983-2139x6857,"39407 Ibikunle Cove, South Abebiview, NY 87434",F
7,Omowumi,Ayoola,adesoji98@example.com,+1-552-898-2072x285,"27382 Babatunji Alley Suite 763, Adelusiborough, PR 23390",M
10,Tokunbo,Ajayi,ololade45@example.net,001-576-862-2604x70266,"52380 Olukunga Extension Suite 506, Ogunwobihaven, NE 58321",F
12,Omolabake,Faloye,adeoluoyetoro@example.net,(718)344-8059x809,"80724 Sobowale Fields Suite 371, Omolarafort, WY 59209",F
4,Keji,Aderibigbe,nodunsi@example.com,(359)717-2491x63968,"639 Omotayo Dale, Damifeside, NC 54529",F
2,Ayinde,Olaiya,awero77@example.org,+1-971-496-1048x24538,"553 Oluwagbemi Islands Apt. 912, North Aanuoluwapo, IA 26351",M
4,Subomi,Ojua,leke85@example.net,266-706-6780,"24729 Mojisola Freeway Apt. 855, West Doyinsola, AS 89206",F
5,Oreofe,Olukotun,seyealabi@example.org,274-828-7240,"4419 Ogunde Shore, Ronkeshire, OH 74362",M
12,Iseoluwa,Ilupeju,adegbitedurodola@example.org,001-675-938-1428x219,"3945 Adetoun Meadows Suite 152, Subomiborough, CA 62886",M
15,Olumorotimi,Ilori,npaimo@example.com,+1-306-494-8650x6343,"396 Oloyede Gateway, Omolabakeberg, RI 25126",M
11,Toki,Odetola,mojisola01@example.net,001-488-509-3335x557,"342 Mofifoluwa Falls, East Adeshina, PA 72883",M
10,Asake,Oladipupo,ayinkefalabi@example.net,413-458-2317x3235,"5750 Adegoke Inlet Apt. 749, Owolabiland, TX 94510",M
6,Abosede,Ojo,ibironkesoyinka@example.com,352-259-6663x898,"60684 Oluwamumibori Plaza, East Segilola, IL 16164",M
