TeacherID,FirstName,Surname,EmailAddress,PhoneNumber,Address,Gender
1,Morenike,Faleti,omojolakolawole@example.com,+1-347-959-9398x801,"408 Adeyi Lakes Suite 346, Okefort, ME 86077",F
2,Oluwamumibori,Faleti,ogooluwababtunde@example.net,435-405-5570,"60488 Oshin Rapid Suite 351, Lake Bunmi, AK 57183",M
3,Aderopo,Owokoniran,shekoniajala@example.org,001-230-326-1312,"308 Bakare Fall Apt. 168, Oparindechester, ME 25555",F
4,Gbolahan,Olowokeere,oluwafemisobowale@example.net,735-225-6023x0624,"4577 Olasupo Springs Suite 827, Morenikefort, HI 63892",F
5,Oluwasegun,Adegoke,alobayewande@example.org,748.897.5787x8954,"39826 Ogunbo Course Apt. 233, Salakofort, TX 64207",F
6,Omotayo,Bamidele,adenikefadipe@example.net,(836)960-3463x571,"13885 Adekitan Overpass, East Lere, MS 13332",F
7,Arike,Adelakun,adebukola57@example.org,+1-618-968-2090,"USCGC Adeyemo, FPO AE 31792",F
8,Gbolahan,Osuntokun,similoluwaaderogba@example.net,001-299-368-3911x219,"846 Inioluwa Prairie, Adunniborough, LA 70223",M
9,Juwon,Morawo,afaleti@example.net,602-991-0932x450,"424 Ajala Estates, Ninioluwahaven, AK 69026",F
10,Morolake,Falabi,jaderogba@example.org,336-729-4599,"Unit 0123 Box 1231, DPO AA 63027",F
11,ObaniJesu,Olukotun,lereojua@example.org,360-541-0459x6350,"88770 Demilade Lodge Suite 578, Igeland, VI 35864",M
12,Subomi,Makinde,adelekekolawole@example.com,001-205-514-8491x9609,"609 Olowokeere Highway Suite 674, Soyinkaton, SC 03981",M
13,Oreofe,Olujimi,oluwafemi01@example.org,207-434-6601,"1867 Oyeniyi Course, West Ayokaville, CA 36446",F
14,Fadekemi,Adisa,yewandeolabode@example.org,+1-560-408-8024x18252,"90327 Salami Camp Apt. 619, Yetundefurt, WA 48507",M
15,Segilola,Olowokeere,omowumi54@example.net,813.592.3540,"18828 Makinwa Mill, New Adepejumouth, MS 58057",M
